#timestamp x y z qx qy qz qw
1670531269.30316377 8.75632042 -4.67830985 0.18601510 -0.00881000 -0.00566620 0.61794338 0.78615282
1670531269.40305376 8.76598841 -4.58173428 0.17596776 -0.01759261 -0.00765336 0.64107247 0.76724052
1670531269.50307393 8.78061745 -4.50303076 0.19140215 -0.00345729 -0.00801524 0.66250476 0.74900684
1670531269.60312462 8.77672273 -4.40029872 0.16904635 -0.01674537 -0.00536271 0.68337428 0.72985644
1670531269.70314407 8.78163249 -4.30381827 0.17425716 -0.00946005 -0.00149681 0.70717159 0.70697709
1670531269.80332136 8.77481935 -4.21437195 0.17226903 -0.01138228 -0.00408445 0.72317606 0.69055785
1670531269.90376329 8.76561977 -4.11357538 0.16403309 -0.00971932 -0.00007369 0.73305233 0.68010280
1670531270.00416517 8.76230859 -4.01898010 0.17032563 -0.01037756 -0.00413928 0.73465306 0.67835098
1670531270.10421801 8.75081771 -3.91490365 0.16138008 -0.01283082 -0.00162500 0.73944746 0.67309002
1670531270.20407200 8.74767527 -3.82063651 0.16889298 -0.00762892 -0.00457490 0.74317764 0.66903502
1670531270.30380225 8.73332910 -3.73068635 0.17276245 -0.00808505 -0.00589862 0.74666175 0.66512862
1670531270.40342665 8.71836679 -3.63617207 0.17423780 -0.00756909 -0.00842422 0.75006191 0.66127065
1670531270.50305438 8.70826062 -3.53306608 0.16956804 -0.00836506 -0.00168071 0.75431692 0.65645502
1670531270.60278893 8.69823651 -3.44441284 0.17645431 -0.00467488 -0.00725676 0.75789600 0.65231827
1670531270.70254326 8.67763968 -3.35071721 0.16691249 -0.00752601 -0.00250667 0.76221981 0.64726967
1670531270.80244350 8.65807091 -3.25713373 0.16638099 -0.01086753 -0.00081012 0.76529504 0.64358740
1670531270.90254736 8.63864938 -3.16412969 0.15929945 -0.01281089 0.00072576 0.76457068 0.64441215
1670531271.00276971 8.62474826 -3.07839512 0.15343984 -0.01304529 0.00077171 0.76239773 0.64697676
1670531271.10448909 8.60974237 -2.99585621 0.15816868 -0.01062357 -0.00400244 0.75829175 0.65181650
1670531271.20304632 8.60226018 -2.91558366 0.16759844 -0.00545555 -0.00525417 0.75432886 0.65645305
1670531271.30306816 8.58820519 -2.81920993 0.15796534 -0.00932788 -0.00516401 0.75116349 0.66003010
1670531271.40302753 8.57950419 -2.72301079 0.15683722 -0.01038738 -0.00363052 0.74682640 0.66492800
1670531271.50310016 8.57105852 -2.62863349 0.15840390 -0.00905401 -0.00225321 0.74021483 0.67230570
1670531271.60330749 8.56181526 -2.53963601 0.15931448 -0.00788068 -0.00430788 0.72657280 0.68703079
1670531271.70339108 8.55696687 -2.44689221 0.15904023 -0.00598241 -0.00477385 0.70929671 0.70486850
1670531271.80335402 8.55831079 -2.34271052 0.15808852 -0.01001286 -0.00123419 0.69201390 0.72181368
1670531271.90322065 8.57005323 -2.24120406 0.15547352 -0.00901783 -0.00251956 0.67267686 0.73987713
1670531272.00271893 8.58520743 -2.13904989 0.16349878 -0.00842698 -0.00032243 0.65996402 0.75124988
1670531272.10192561 8.59420284 -2.04224513 0.16732613 -0.00576783 -0.00696420 0.66146312 0.74992318
1670531272.20140624 8.61490508 -1.94685830 0.16210425 -0.00775588 -0.00054502 0.66015332 0.75109064
1670531272.30116606 8.62381807 -1.85550882 0.15731718 -0.00975894 -0.00347361 0.66136618 0.74999165
1670531272.40110087 8.63071886 -1.76651024 0.15336440 -0.00851009 -0.00228839 0.66303486 0.74853665
1670531272.50101042 8.63768656 -1.67278023 0.15288856 -0.01010254 -0.00270617 0.67069344 0.74166092
1670531272.60104084 8.64096797 -1.58419040 0.15916262 -0.00727362 -0.00411168 0.68281296 0.73054545
1670531272.70126343 8.64473304 -1.48923294 0.15807448 -0.00930813 -0.00349904 0.69332342 0.72055795
1670531272.80165195 8.64522108 -1.39491368 0.15977944 -0.00777698 -0.00299476 0.70373756 0.71041115
1670531272.90243602 8.64373263 -1.30281254 0.16213351 -0.01015058 -0.00628780 0.70245443 0.71162856
1670531273.00323772 8.63965383 -1.21330365 0.15883726 -0.00998925 -0.00255595 0.69529982 0.71864584
1670531273.10366702 8.64641420 -1.10966033 0.16275506 -0.01272577 -0.00149563 0.68645974 0.72705491
1670531273.20379806 8.65032526 -1.01529625 0.15691610 -0.01109886 -0.00285148 0.67909112 0.73396453
1670531273.30366492 8.66452096 -0.92408046 0.15475960 -0.00967158 -0.00431877 0.67060602 0.74173808
1670531273.40342093 8.68033962 -0.83315826 0.15254541 -0.00775556 -0.00222592 0.66221697 0.74926870
1670531273.50304842 8.68979999 -0.74049887 0.15308466 -0.00854212 -0.00329870 0.65435197 0.75613468
1670531273.60272193 8.70623106 -0.64565550 0.15053369 -0.00898426 -0.00308371 0.64638430 0.76295289
1670531273.70244694 8.72443139 -0.55174829 0.14984589 -0.00834247 -0.00266793 0.63821445 0.76980881
1670531273.80226946 8.74248523 -0.46051928 0.15174016 -0.00641455 -0.00629008 0.63140508 0.77540113
1670531273.90224314 8.76326734 -0.36318597 0.15227314 -0.00672485 -0.00117413 0.62244449 0.78263418
1670531274.00225449 8.78842662 -0.27088383 0.15196105 -0.00830643 0.00016087 0.61467950 0.78873322
1670531274.10235262 8.81581795 -0.18726221 0.15198062 -0.00446641 -0.00312427 0.60623004 0.79527066
1670531274.20253038 8.84664440 -0.10049081 0.15182065 -0.00562275 0.00137893 0.59579432 0.80311619
1670531274.30265307 8.87808063 -0.00527119 0.14915022 -0.00306488 0.00297492 0.58763495 0.80911490
1670531274.40279818 8.90875478 0.08889607 0.14758614 -0.00412731 0.00264280 0.57762993 0.81628405
1670531274.50266838 8.94236349 0.17003016 0.15444356 0.00021507 -0.00017973 0.57405217 0.81881868
1670531274.60237432 8.97452838 0.25844122 0.15877794 0.00063393 -0.00088437 0.57615698 0.81733833
1670531274.70205712 9.00421926 0.34533233 0.16105077 0.00062168 0.00069593 0.58390168 0.81182384
1670531274.80198050 9.03058191 0.42786056 0.16301058 0.00343730 -0.00030221 0.58998724 0.80740520
